T,genP,demP,H,B
0.0,0,0.169,36,36
0.5,0,0.087,36,36
1.0,0,0.111,36,36
1.5,0,0.134,36,36
2.0,0,0.017,36,36
2.5,0,0.11,36,36
3.0,0,0.075,36,36
3.5,0,0.041,36,36
4.0,0,0.143,36,36
4.5,0,0.109,36,36
5.0,0,0.304,36,36
5.5,0,0.165,36,36
6.0,0.013,0.11,36,36
6.5,0.038,0.025,36,36
7.0,0.138,0.098,36,36
7.5,0.2,0.432,36,36
8.0,0.306,0.262,36,36
8.5,0.35,0.115,36,36
9.0,0.375,0.114,36,36
9.5,0.394,0.086,36,36
10.0,0.363,0.063,36,36
10.5,0.294,0.145,36,36
11.0,0.225,0.062,36,36
11.5,0.206,0.078,36,36
12.0,0.356,0.084,36,36
12.5,0.325,0.035,36,36
13.0,0.219,0.132,36,36
13.5,0.35,0.311,36,36
14.0,0.306,0.133,36,36
14.5,0.256,0.071,36,36
15.0,0.213,0.144,36,36
15.5,0.156,0.044,36,36
16.0,0.1,0.075,36,36
16.5,0.05,0.139,36,36
17.0,0.019,0.152,36,36
17.5,0.006,0.346,36,36
18.0,0.006,0.278,36,36
18.5,0.006,0.171,36,36
19.0,0,0.235,36,36
19.5,0,0.191,36,36
20.0,0,0.323,36,36
20.5,0,0.29,36,36
21.0,0,0.195,36,36
21.5,0,0.334,36,36
22.0,0,0.314,36,36
22.5,0,0.205,36,36
23.0,0,0.162,36,36
23.5,0,0.087,36,36
