T,genP,demP,H,B
0.0,0,0.535,27,27
0.5,0,0.303,27,27
1.0,0,0.076,27,27
1.5,0,0.114,27,27
2.0,0,0.087,27,27
2.5,0,0.094,27,27
3.0,0,0.111,27,27
3.5,0,0.072,27,27
4.0,0,0.112,27,27
4.5,0,0.081,27,27
5.0,0,0.097,27,27
5.5,0,0.1,27,27
6.0,0.006,0.078,27,27
6.5,0.025,0.108,27,27
7.0,0.069,0.069,27,27
7.5,0.1,0.111,27,27
8.0,0.206,0.107,27,27
8.5,0.269,0.125,27,27
9.0,0.275,0.134,27,27
9.5,0.238,0.26,27,27
10.0,0.381,0.43,27,27
10.5,0.406,0.821,27,27
11.0,0.425,0.328,27,27
11.5,0.35,0.968,27,27
12.0,0.35,0.285,27,27
12.5,0.388,0.294,27,27
13.0,0.438,0.214,27,27
13.5,0.419,0.179,27,27
14.0,0.4,0.164,27,27
14.5,0.369,0.195,27,27
15.0,0.331,0.218,27,27
15.5,0.3,0.136,27,27
16.0,0.244,0.311,27,27
16.5,0.188,0.324,27,27
17.0,0.125,0.396,27,27
17.5,0.069,0.338,27,27
18.0,0.019,0.466,27,27
18.5,0,1.037,27,27
19.0,0.006,0.528,27,27
19.5,0,0.512,27,27
20.0,0,0.45,27,27
20.5,0,0.513,27,27
21.0,0,0.502,27,27
21.5,0,0.472,27,27
22.0,0,0.339,27,27
22.5,0,0.196,27,27
23.0,0,0.151,27,27
23.5,0,0.208,27,27
